y,m,d,ad,ed,pd,et,etd,v,ov,sv,sov,adj
0,0,0,,2026-07-15,24/07/2026,Rendimento,Rendimento,0.81,,"0,81000000",-,False
0,0,0,,2026-06-15,25/06/2026,Rendimento,Rendimento,0.81,,"0,81000000",-,False
0,0,0,,2026-05-15,25/05/2026,Rendimento,Rendimento,0.81,,"0,81000000",-,False
0,0,0,,2026-04-15,24/04/2026,Rendimento,Rendimento,0.81,,"0,81000000",-,False
0,0,0,,2026-03-13,25/03/2026,Rendimento,Rendimento,0.8,,"0,80000000",-,False
0,0,0,,2026-02-13,25/02/2026,Rendimento,Rendimento,0.8,,"0,80000000",-,False
0,0,0,,2026-01-15,23/01/2026,Rendimento,Rendimento,0.79,,"0,79000000",-,False
0,0,0,,2025-12-15,23/12/2025,Rendimento,Rendimento,0.79,,"0,79000000",-,False
0,0,0,,2025-11-14,25/11/2025,Rendimento,Rendimento,0.79,,"0,79000000",-,False
0,0,0,,2025-10-15,24/10/2025,Rendimento,Rendimento,0.79,,"0,79000000",-,False
0,0,0,,2025-09-15,25/09/2025,Rendimento,Rendimento,0.79,,"0,79000000",-,False
0,0,0,,2025-08-15,25/08/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2025-07-15,25/07/2025,Rendimento,Rendimento,0.7801,,"0,78010000",-,False
0,0,0,,2025-06-13,23/06/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2025-05-15,23/05/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2025-04-15,25/04/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2025-03-14,25/03/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2025-02-14,25/02/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2025-01-15,22/01/2025,Rendimento,Rendimento,0.868191017,,"0,86819102",-,False
0,0,0,,2024-12-13,23/12/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-11-14,25/11/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-10-15,25/10/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-09-13,25/09/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-08-15,23/08/2024,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2024-07-15,25/07/2024,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2024-06-14,25/06/2024,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2024-05-15,24/05/2024,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2024-04-15,25/04/2024,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2024-03-15,25/03/2024,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2024-02-15,23/02/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-01-15,25/01/2024,Rendimento,Rendimento,0.81,,"0,81000000",-,False
0,0,0,,2023-12-15,22/12/2023,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2023-11-14,24/11/2023,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2023-10-13,25/10/2023,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2023-09-15,25/09/2023,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2023-08-15,25/08/2023,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2023-07-14,25/07/2023,Rendimento,Rendimento,0.76,,"0,76000000",-,False
0,0,0,,2023-06-15,23/06/2023,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2023-05-15,25/05/2023,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2023-04-14,25/04/2023,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2023-03-15,24/03/2023,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2023-02-15,24/02/2023,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2023-01-13,25/01/2023,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2022-12-15,23/12/2022,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2022-11-14,25/11/2022,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2022-10-14,25/10/2022,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2022-09-15,23/09/2022,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2022-08-15,25/08/2022,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2022-07-15,25/07/2022,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2022-06-15,24/06/2022,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2022-05-13,25/05/2022,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2022-04-14,25/04/2022,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2022-03-15,22/03/2022,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2022-02-15,25/02/2022,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2022-01-14,25/01/2022,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2021-12-15,23/12/2021,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2021-11-12,25/11/2021,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2021-10-15,25/10/2021,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2021-09-15,24/09/2021,Rendimento,Rendimento,0.72,,"0,72000000",-,False
0,0,0,,2021-08-06,13/08/2021,Rendimento,Rendimento,0.74,,"0,74000000",-,False
0,0,0,,2021-07-15,23/07/2021,Rendimento,Rendimento,0.7,,"0,70000000",-,False
0,0,0,,2021-06-15,25/06/2021,Rendimento,Rendimento,0.7,,"0,70000000",-,False
0,0,0,,2021-05-14,25/05/2021,Rendimento,Rendimento,0.7,,"0,70000000",-,False
0,0,0,,2021-04-15,23/04/2021,Rendimento,Rendimento,0.63,,"0,63000000",-,False
0,0,0,,2021-03-15,22/03/2021,Rendimento,Rendimento,0.6,,"0,60000000",-,False
0,0,0,,2021-02-12,25/02/2021,Rendimento,Rendimento,0.6,,"0,60000000",-,False
0,0,0,,2021-01-15,22/01/2021,Rendimento,Rendimento,0.6,,"0,60000000",-,False
0,0,0,,2020-12-04,11/12/2020,Rendimento,Rendimento,0.6,,"0,60000000",-,False
0,0,0,,2020-11-13,25/11/2020,Rendimento,Rendimento,0.6,,"0,60000000",-,False
0,0,0,,2020-10-15,23/10/2020,Rendimento,Rendimento,0.6,,"0,60000000",-,False
0,0,0,,2020-09-15,25/09/2020,Rendimento,Rendimento,0.33,,"0,33000000",-,False
0,0,0,,2020-08-14,25/08/2020,Rendimento,Rendimento,0.5,,"0,50000000",-,False
0,0,0,,2020-07-15,24/07/2020,Rendimento,Rendimento,0.5,,"0,50000000",-,False
