IFIX - 2026
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;3.876,65;;3.860,37;3.826,67;;;;;
2;3.778,89;3.853,10;3.906,06;3.885,55;;3.860,28;3.833,57;;;;;
3;;3.856,94;3.883,13;;;3.842,46;3.846,78;3.785,52;;;;
4;;3.848,09;3.890,89;;3.903,53;;;3.784,38;;;;
5;3.782,93;3.847,68;3.886,14;;3.890,75;3.848,37;;3.781,99;;;;
6;3.788,45;3.847,06;3.896,62;3.886,90;3.913,96;;3.835,01;;;;;
7;3.781,07;;;3.880,25;3.909,65;;3.828,53;;;;;
8;3.782,55;;;3.890,63;3.922,13;3.818,23;3.821,06;;;;;
9;3.789,46;3.843,46;3.879,19;3.891,72;;3.811,81;3.831,41;;;;;
10;;3.833,81;3.876,45;3.910,83;;3.777,23;3.842,89;;;;;
11;;3.836,62;3.873,59;;3.868,63;3.802,63;;;;;;
12;3.788,09;3.832,93;3.865,94;;3.865,24;3.814,03;;;;;;
13;3.795,86;3.852,65;3.879,52;3.903,40;3.834,34;;3.829,87;;;;;
14;3.797,88;;;3.904,60;3.868,16;;3.831,38;;;;;
15;3.804,48;;;3.906,18;3.884,76;3.833,15;3.839,16;;;;;
16;3.809,30;;3.881,27;3.914,68;;3.824,21;3.846,24;;;;;
17;;;3.875,45;3.931,06;;3.811,18;3.847,20;;;;;
18;;3.852,34;3.868,48;;3.850,19;3.799,74;;;;;;
19;3.813,38;3.854,94;3.864,05;;3.816,65;3.800,08;;;;;;
20;3.810,80;3.868,93;3.861,84;3.941,62;3.850,07;;3.837,65;;;;;
21;3.812,31;;;;3.849,95;;3.827,72;;;;;
22;3.820,20;;;3.939,93;3.855,09;3.796,44;3.814,78;;;;;
23;3.841,53;3.865,04;3.862,19;3.928,65;;3.792,93;3.803,93;;;;;
24;;3.867,63;3.856,45;3.935,55;;3.781,09;3.805,03;;;;;
25;;3.876,96;3.860,19;;3.863,87;3.795,40;;;;;;
26;3.845,91;3.885,14;3.856,65;;3.851,02;3.806,50;;;;;;
27;3.840,08;3.911,99;3.868,61;3.924,93;3.853,81;;3.798,06;;;;;
28;3.848,56;;;3.924,64;3.861,52;;3.807,17;;;;;
29;3.843,02;;;3.927,12;3.877,52;3.818,71;3.797,33;;;;;
30;3.860,99;;3.861,25;3.929,91;;3.830,59;3.806,26;;;;;
31;;;3.870,57;;;;3.818,52;;;;;
M�NIMO;3.778,89;3.832,93;3.856,45;3.876,65;3.816,65;3.777,23;3.797,33;3.781,99;;;;
M�NIMO;3.860,99;3.911,99;3.906,06;3.941,62;3.922,13;3.860,37;3.847,20;3.785,52;;;;
