Data,Fechamento
2026-01-02,3778.89
2026-01-05,3782.93
2026-01-06,3788.45
2026-01-07,3781.07
2026-01-08,3782.55
2026-01-09,3789.46
2026-01-12,3788.09
2026-01-13,3795.86
2026-01-14,3797.88
2026-01-15,3804.48
2026-01-16,3809.3
2026-01-19,3813.38
2026-01-20,3810.8
2026-01-21,3812.31
2026-01-22,3820.2
2026-01-23,3841.53
2026-01-26,3845.91
2026-01-27,3840.08
2026-01-28,3848.56
2026-01-29,3843.02
2026-01-30,3860.99
2026-02-02,3853.1
2026-02-03,3856.94
2026-02-04,3848.09
2026-02-05,3847.68
2026-02-06,3847.06
2026-02-09,3843.46
2026-02-10,3833.81
2026-02-11,3836.62
2026-02-12,3832.93
2026-02-13,3852.65
2026-02-18,3852.34
2026-02-19,3854.94
2026-02-20,3868.93
2026-02-23,3865.04
2026-02-24,3867.63
2026-02-25,3876.96
2026-02-26,3885.14
2026-02-27,3911.99
2026-03-02,3906.06
2026-03-03,3883.13
2026-03-04,3890.89
2026-03-05,3886.14
2026-03-06,3896.62
2026-03-09,3879.19
2026-03-10,3876.45
2026-03-11,3873.59
2026-03-12,3865.94
2026-03-13,3879.52
2026-03-16,3881.27
2026-03-17,3875.45
2026-03-18,3868.48
2026-03-19,3864.05
2026-03-20,3861.84
2026-03-23,3862.19
2026-03-24,3856.45
2026-03-25,3860.19
2026-03-26,3856.65
2026-03-27,3868.61
2026-03-30,3861.25
2026-03-31,3870.57
2026-04-01,3876.65
2026-04-02,3885.55
2026-04-06,3886.9
2026-04-07,3880.25
2026-04-08,3890.63
2026-04-09,3891.72
2026-04-10,3910.83
2026-04-13,3903.4
2026-04-14,3904.6
2026-04-15,3906.18
2026-04-16,3914.68
2026-04-17,3931.06
2026-04-20,3941.62
2026-04-22,3939.93
2026-04-23,3928.65
2026-04-24,3935.55
2026-04-27,3924.93
2026-04-28,3924.64
2026-04-29,3927.12
2026-04-30,3929.91
2026-05-04,3903.53
2026-05-05,3890.75
2026-05-06,3913.96
2026-05-07,3909.65
2026-05-08,3922.13
2026-05-11,3868.63
2026-05-12,3865.24
2026-05-13,3834.34
2026-05-14,3868.16
2026-05-15,3884.76
2026-05-18,3850.19
2026-05-19,3816.65
2026-05-20,3850.07
2026-05-21,3849.95
2026-05-22,3855.09
2026-05-25,3863.87
2026-05-26,3851.02
2026-05-27,3853.81
2026-05-28,3861.52
2026-05-29,3877.52
2026-06-01,3860.37
2026-06-02,3860.28
2026-06-03,3842.46
2026-06-05,3848.37
2026-06-08,3818.23
2026-06-09,3811.81
2026-06-10,3777.23
2026-06-11,3802.63
2026-06-12,3814.03
2026-06-15,3833.15
2026-06-16,3824.21
2026-06-17,3811.18
2026-06-18,3799.74
2026-06-19,3800.08
2026-06-22,3796.44
2026-06-23,3792.93
2026-06-24,3781.09
2026-06-25,3795.4
2026-06-26,3806.5
2026-06-29,3818.71
2026-06-30,3830.59
2026-07-01,3826.67
2026-07-02,3833.57
2026-07-03,3846.78
2026-07-06,3835.01
2026-07-07,3828.53
2026-07-08,3821.06
2026-07-09,3831.41
2026-07-10,3842.89
2026-07-13,3829.87
2026-07-14,3831.38
2026-07-15,3839.16
2026-07-16,3846.24
2026-07-17,3847.2
2026-07-20,3837.65
2026-07-21,3827.72
2026-07-22,3814.78
2026-07-23,3803.93
2026-07-24,3805.03
2026-07-27,3798.06
2026-07-28,3807.17
2026-07-29,3797.33
2026-07-30,3806.26
2026-07-31,3818.52
2026-08-03,3785.52
2026-08-04,3784.38
2026-08-05,3781.99
