y,m,d,ad,ed,pd,et,etd,v,ov,sv,sov,adj
0,0,0,,2026-07-31,07/08/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2026-06-30,07/07/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2026-05-29,08/06/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2026-04-30,08/05/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2026-03-31,08/04/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2026-02-27,06/03/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2026-01-30,06/02/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-12-30,08/01/2026,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-11-28,05/12/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-10-31,07/11/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-09-30,07/10/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-08-29,05/09/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-07-31,07/08/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-06-30,07/07/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-05-30,06/06/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-04-30,08/05/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-03-31,07/04/2025,Rendimento,Rendimento,0.75,,"0,75000000",-,False
0,0,0,,2025-02-28,11/03/2025,Rendimento,Rendimento,0.83,,"0,83000000",-,False
0,0,0,,2025-01-31,07/02/2025,Rendimento,Rendimento,0.83,,"0,83000000",-,False
0,0,0,,2024-12-30,08/01/2025,Rendimento,Rendimento,0.83,,"0,83000000",-,False
0,0,0,,2024-11-29,06/12/2024,Rendimento,Rendimento,0.83,,"0,83000000",-,False
0,0,0,,2024-10-31,07/11/2024,Rendimento,Rendimento,0.83,,"0,83000000",-,False
0,0,0,,2024-09-30,07/10/2024,Rendimento,Rendimento,0.83,,"0,83000000",-,False
0,0,0,,2024-08-30,06/09/2024,Rendimento,Rendimento,0.9,,"0,90000000",-,False
0,0,0,,2024-07-31,07/08/2024,Rendimento,Rendimento,0.9,,"0,90000000",-,False
