y,m,d,ad,ed,pd,et,etd,v,ov,sv,sov,adj
0,0,0,,2026-07-31,14/08/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2026-06-30,14/07/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2026-05-29,15/06/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2026-04-30,15/05/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2026-03-31,15/04/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2026-02-27,13/03/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2026-01-30,13/02/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-12-30,15/01/2026,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-11-28,12/12/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-10-31,14/11/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-09-30,14/10/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-08-29,12/09/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-07-31,14/08/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-06-30,14/07/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-05-30,13/06/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-04-30,15/05/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-03-31,14/04/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-02-28,18/03/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2025-01-31,14/02/2025,Rendimento,Rendimento,0.82,,"0,82000000",-,False
0,0,0,,2024-12-30,14/01/2025,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-11-29,13/12/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-10-31,14/11/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-09-30,14/10/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
0,0,0,,2024-08-30,13/09/2024,Rendimento,Rendimento,0.78,,"0,78000000",-,False
